a,b,c,d,e,f,g,h,i,j,k,l,m
AE Bingo: Offline Bingo Games,GAME,4.4,61746,Varies with device,"500,000+",True,0.0,Teen,Casino,2016-09-30,Varies with device,2.3.3 and up
AE Jewels,GAME,4.2,960,18M,"50,000+",True,0.0,Everyone,Action,2015-08-20,1.0.5,3.0 and up
AE Spider Solitaire,GAME,4.5,17263,Varies with device,"500,000+",True,0.0,Everyone,Card,2017-06-07,Varies with device,Varies with device
AE Coin Mania : Arcade Fun,GAME,4.3,30002,29M,"1,000,000+",True,0.0,Teen,Casino,2018-02-08,2.3.5,4.0.3 and up
AE Roundy POP,FAMILY,4.4,5262,26M,"100,000+",True,0.0,Everyone,Casual,2016-03-23,1.1.2,2.3 and up
Mupen64+AE FREE (N64 Emulator),GAME,4.0,41759,12M,"1,000,000+",True,0.0,Everyone,Arcade,2014-01-19,2.4.4,2.0 and up
Mupen64Plus AE (N64 Emulator),GAME,4.2,4569,12M,"100,000+",False,0.99,Everyone,Arcade,2014-01-19,2.4.4,2.0 and up
AE Lucky Fishing,GAME,4.3,18277,17M,"1,000,000+",True,0.0,Teen,Arcade,2016-03-14,2.0.2,2.3 and up
AE Video Poker,GAME,4.0,721,18M,"50,000+",True,0.0,Teen,Casino,2015-12-31,1.3.2,2.3 and up
AE Solitaire,GAME,4.3,1776,26M,"50,000+",True,0.0,Everyone,Card,2018-01-04,2.3.4,4.0.3 and up
AE Archer,SPORTS,3.9,8638,Varies with device,"500,000+",True,0.0,Everyone,Sports,2015-09-02,Varies with device,Varies with device
AE Blackjack,GAME,4.0,1417,17M,"100,000+",True,0.0,Teen,Card,2015-11-27,1.3.1,2.3 and up
AE Gun Ball: arcade ball games,GAME,3.7,8581,12M,"1,000,000+",True,0.0,Everyone,Arcade,2013-12-13,1.0.2,2.2 and up
AE Order,TOOLS,4.1,19,317k,"1,000+",True,0.0,Everyone,Tools,2013-11-12,2.0.131112,2.3 and up
TV.AE,FAMILY,3.9,109,7.5M,"10,000+",True,0.0,Everyone,Entertainment,2017-09-21,1.0.4,4.4 and up
AE 3D MOTOR :Racing Games Free,GAME,4.2,74902,Varies with device,"5,000,000+",True,0.0,Everyone,Racing,2016-08-26,Varies with device,Varies with device
AE Garage,AUTO_AND_VEHICLES,4.4,64,66M,"1,000+",True,0.0,Everyone,Auto & Vehicles,2017-06-27,1.0,4.1 and up
AE Bulletins,BOOKS_AND_REFERENCE,4.5,14,30M,"1,000+",True,0.0,Everyone,Books & Reference,2018-07-18,2.2.5,4.0.3 and up
AE GTO Racing,GAME,3.9,6988,35M,"100,000+",True,0.0,Everyone 10+,Racing,2015-09-24,Varies with device,Varies with device
AE 3D Moto 3,GAME,3.9,2588,26M,"100,000+",True,0.0,Everyone 10+,Racing,2014-12-31,1.7.1,2.3 and up
AE FreeCell,GAME,4.2,358,15M,"10,000+",True,0.0,Everyone,Card,2014-11-06,1.1.5,2.3 and up
AE City Jump,GAME,4.5,804,27M,"10,000+",True,0.0,Everyone,Action,2018-07-18,1.0.4,4.0 and up
