a,b,c,d,e,f,g,h,i,j,k,l,m
Fahrschule DW,FAMILY,nan,5,3.9M,"1,000+",True,0.0,Everyone,Education,2016-04-19,1.2,2.2 and up
Downvids Helper - One touch DW,VIDEO_PLAYERS,3.5,197,9.8M,"10,000+",True,0.0,Everyone,Video Players & Editors,2017-02-05,1.0,4.0.3 and up
DW Tech Tools,BUSINESS,nan,1,5.9M,100+,True,0.0,Everyone,Business,2018-07-24,26.1,4.1 and up
DW Security,BUSINESS,5.0,6,15M,100+,True,0.0,Everyone,Business,2018-07-25,69.1,4.1 and up
News: RFI Hausa,NEWS_AND_MAGAZINES,4.7,10,6.3M,"1,000+",True,0.0,Everyone,News & Magazines,2018-04-28,1.0,4.1 and up
ZAK DW,BUSINESS,nan,0,3.0M,10+,True,0.0,Teen,Business,2015-11-13,1.0,4.1 and up
DW Contacts Wear,TOOLS,4.2,37,2.2M,"5,000+",True,0.0,Everyone,Tools,2015-03-09,0.0.0.2,4.0 and up
Hausa Radio,NEWS_AND_MAGAZINES,4.4,3375,4.2M,"100,000+",True,0.0,Everyone,News & Magazines,2018-07-31,4.1,4.1 and up
Digi Dex for DW Next Order @PS4,TOOLS,4.2,155,16M,"10,000+",True,0.0,Everyone,Tools,2018-02-24,1.3,5.0 and up
DW Timer,TOOLS,5.0,9,1.5M,100+,True,0.0,Everyone,Tools,2017-04-05,1.0,1.6 and up
DW Streaming,SOCIAL,nan,0,Varies with device,"1,000+",True,0.0,Everyone,Social,2017-05-27,Varies with device,Varies with device
RETRO Shocked DW-6000,PERSONALIZATION,5.0,13,500k,100+,False,1.49,Everyone,Personalization,2017-04-04,1.2,2.3 and up
VMAX IP Plus Mobile Client,BUSINESS,2.0,9,3.4M,"1,000+",True,0.0,Everyone,Business,2017-06-09,1.1.12,2.3 and up
Rose Gold DW Watch Theme,PERSONALIZATION,nan,1,3.3M,100+,True,0.0,Everyone,Personalization,2018-07-25,1.1.1,4.0 and up
DW Maps,TRAVEL_AND_LOCAL,3.7,35,13M,"10,000+",True,0.0,Everyone,Travel & Local,2017-06-06,1.9,2.3.3 and up
DW Uninstall Applications,TOOLS,nan,0,2.5M,10+,True,0.0,Everyone,Tools,2017-02-05,1.0,2.3 and up
Bodyworks DW,HEALTH_AND_FITNESS,nan,0,10M,10+,True,0.0,Everyone,Health & Fitness,2018-07-09,4.2.2,4.1 and up
DW Cleaner,TOOLS,nan,7,3.0M,500+,True,0.0,Everyone,Tools,2018-08-05,1.7,4.0 and up
DW Missed call cleaner patch,TOOLS,3.9,65,54k,"5,000+",True,0.0,Everyone,Tools,2014-11-27,1.4,2.0 and up
Swahili Radio,NEWS_AND_MAGAZINES,4.5,171,4.8M,"10,000+",True,0.0,Everyone,News & Magazines,2018-05-30,3.0,4.0 and up
