a,b,c,d,e,f,g,h,i,j,k,l,m
Bridge Constructor Playground FREE,FAMILY,3.9,137377,30M,"5,000,000+",True,0.0,Everyone,Simulation,2017-04-12,2.2,4.0.3 and up
"BDCast - Bangla Live TV,Radio",FAMILY,4.4,7461,31M,"1,000,000+",True,0.0,Everyone,Entertainment,2018-05-20,4.2.1,4.1 and up
bd's Mongolian Grill,LIFESTYLE,4.2,120,14M,"10,000+",True,0.0,Everyone,Lifestyle,2018-02-23,1.5.1,4.1 and up
BD Briight: Your Diabetes Personal Assistant,MEDICAL,4.8,17,37M,"5,000+",True,0.0,Everyone,Medical,2018-07-19,1.5.0,5.0 and up
Jagobd - Bangla TV(Official),FAMILY,4.3,39109,4.0M,"1,000,000+",True,0.0,Everyone,Entertainment,2017-12-20,6.5,4.0 and up
Business Dictionary,BUSINESS,4.2,5988,Varies with device,"500,000+",True,0.0,Everyone,Business,2016-05-16,Varies with device,Varies with device
BD Data Plan (3G & 4G),COMMUNICATION,4.4,10341,6.9M,"500,000+",True,0.0,Everyone,Communication,2018-07-05,5.2.4,4.1 and up
বাংলা টিভি প্রো BD Bangla TV,FAMILY,4.3,193,14M,"10,000+",True,0.0,Everyone,Entertainment,2017-04-29,1.3,4.0 and up
BD tools,TOOLS,4.0,21,210k,"10,000+",True,0.0,Everyone,Tools,2015-12-18,6.1,4.2 and up
BD Provider App,HEALTH_AND_FITNESS,1.4,45,13M,"5,000+",True,0.0,Everyone,Health & Fitness,2016-09-12,1.0,4.1 and up
"Izneo, Read Manga, Comics & BD",COMICS,3.3,1476,18M,"500,000+",True,0.0,Teen,Comics,2018-06-11,7.3,4.0 and up
BD Radio TV Free List,FAMILY,4.3,539,13M,"50,000+",True,0.0,Everyone,Entertainment,2018-08-01,1.3,4.2 and up
BD Simplist Through Their Eyes,FAMILY,nan,1,38M,10+,True,0.0,Everyone,Simulation,2015-12-04,1.0,4.1 and up
BD Online News,NEWS_AND_MAGAZINES,4.6,30,3.8M,"1,000+",True,0.0,Everyone,News & Magazines,2018-03-20,1.5,4.0.3 and up
BD Bank Interest,FINANCE,4.7,289,3.2M,"5,000+",True,0.0,Everyone,Finance,2018-05-04,1.2,4.1 and up
BD Earn Pro,FAMILY,4.2,540,3.2M,"10,000+",True,0.0,Everyone,Entertainment,2018-08-01,2.4,4.1 and up
Comics Reader,COMICS,3.9,4496,609k,"100,000+",True,0.0,Everyone,Comics,2017-10-29,2.3.216,2.3 and up
Upohar BD,BUSINESS,3.4,9,1.7M,"1,000+",True,0.0,Everyone,Business,2016-10-08,1.0,3.0 and up
Electricity Bill Calculator BD,PRODUCTIVITY,4.3,247,4.0M,"10,000+",True,0.0,Everyone,Productivity,2016-06-22,1.2,4.0.3 and up
BD Fishpedia,BOOKS_AND_REFERENCE,4.8,123,6.5M,"1,000+",True,0.0,Everyone,Books & Reference,2017-03-15,3.15317,3.0 and up
BD Attendance,PRODUCTIVITY,4.8,93,14M,"1,000+",True,0.0,Everyone,Productivity,2018-07-17,2.3.14,4.3 and up
BD All Sim Offer,BOOKS_AND_REFERENCE,4.5,197,2.8M,"10,000+",True,0.0,Everyone,Books & Reference,2017-01-03,1.2,4.1 and up
BD TYCOON,FAMILY,3.3,16,33M,500+,True,0.0,Everyone,Simulation,2017-07-06,1.2,4.1 and up
