station_id,datapoint_id,alarm_id,event_time,value,valueThreshold,isActive,storedtime
1161115009,153,319,2017-02-22 04:07:19 UTC,999990,1,false,
1161114020,121,309,2017-02-22 04:07:20 UTC,202,200,false,
1161115040,141,312,2017-02-22 04:07:22 UTC,56,56,false,
1161115009,153,319,2017-02-22 04:07:22 UTC,999991,1,true,
1161115040,141,312,2017-02-22 04:07:26 UTC,56.5,56,true,
1161114036,116,303,2017-02-22 04:07:27 UTC,999999,999999,true,
1161115004,153,319,2017-02-22 04:07:29 UTC,999991,1,true,
1161115009,153,319,2017-02-22 04:07:29 UTC,999990,1,false,
1161114036,116,303,2017-02-22 04:07:30 UTC,999999,999999,false,
1161115009,153,319,2017-02-22 04:07:30 UTC,999991,1,true,
1161115040,141,312,2017-02-22 04:07:31 UTC,56,56,false,
1161114007,121,309,2017-02-22 04:07:31 UTC,199,200,true,
1161115040,141,312,2017-02-22 04:07:32 UTC,56.5,56,true,
1161115004,153,319,2017-02-22 04:07:32 UTC,999990,1,false,
1161115040,141,312,2017-02-22 04:07:32 UTC,56,56,false,
1161115023,116,303,2017-02-22 04:07:33 UTC,999999,999999,true,
1161115040,121,309,2017-02-22 04:07:34 UTC,200,200,false,
1161115023,116,303,2017-02-22 04:07:34 UTC,999999,999999,false,
1161115040,141,312,2017-02-22 04:07:35 UTC,56,56,false,
1161115040,141,312,2017-02-22 04:07:35 UTC,56.5,56,true,
1161114060,121,308,2017-02-22 04:07:36 UTC,240,240,false,
1161115006,116,303,2017-02-22 04:07:36 UTC,999999,999999,true,
1161115040,141,312,2017-02-22 04:07:37 UTC,56.5,56,true,
1161115040,141,312,2017-02-22 04:07:38 UTC,56,56,false,
1161115040,141,312,2017-02-22 04:07:38 UTC,56.5,56,true,
1161115006,116,303,2017-02-22 04:07:38 UTC,999999,999999,false,
1161115009,153,319,2017-02-22 04:07:39 UTC,999990,1,false,
1161115040,141,312,2017-02-22 04:07:42 UTC,56,56,false,
1161114060,121,308,2017-02-22 04:07:42 UTC,241,240,true,
1161115009,153,319,2017-02-22 04:07:44 UTC,999991,1,true,
1161114060,121,308,2017-02-22 04:07:45 UTC,240,240,false,
1161115040,141,312,2017-02-22 04:07:46 UTC,56.5,56,true,
1161114075,115,306,2017-02-22 04:07:46 UTC,80.5,80,true,
1161115004,153,319,2017-02-22 04:07:46 UTC,999991,1,true,
1161115033,121,308,2017-02-22 04:07:47 UTC,238,240,false,
1161115033,121,308,2017-02-22 04:07:47 UTC,238,240,false,
1161115033,121,308,2017-02-22 04:07:47 UTC,238,240,false,
1161115003,121,309,2017-02-22 04:07:47 UTC,200,200,false,
1161115033,121,308,2017-02-22 04:07:47 UTC,238,240,false,
1161115033,121,308,2017-02-22 04:07:47 UTC,238,240,false,
